카드명,브랜드,링크,카테고리,내용,충전요금할인,교통할인,정비서비스,자동차보험,차량기타,전기차,수소차,이미지
삼성 iD ENERGY 카드,삼성카드,https://www.card-gorilla.com/card/detail/2290,주유소,"주유 10,000원 결제일할인",Y,N,N,N,N,N,N,2290card.png
삼성 iD ENERGY 카드,삼성카드,https://www.card-gorilla.com/card/detail/2290,대중교통,대중교통·택시·전기차 충전요금 10% 결제일할인,Y,Y,N,N,N,Y,N,2290card.png
삼성 iD ENERGY 카드,삼성카드,https://www.card-gorilla.com/card/detail/2290,자동차,주차장·대리운전 10% 결제일할인,N,Y,N,N,N,N,N,2290card.png
삼성 iD ENERGY 카드,삼성카드,https://www.card-gorilla.com/card/detail/2290,기타,고속도로 통행료 10% 결제일할인,N,Y,N,N,N,N,N,2290card.png
삼성 iD ENERGY 카드,삼성카드,https://www.card-gorilla.com/card/detail/2290,카페,스타벅스 드라이브 스루 30% 결제일할인,N,N,N,N,Y,N,N,2290card.png
삼성 iD ENERGY 카드,삼성카드,https://www.card-gorilla.com/card/detail/2290,자동차,엔진오일(오일필터/에어클리너 포함) 교환 시 2만원 현장할인(연 2회)차량 안전점검/타이어 펑크 수리/타이어 위치 교환 무료(연1회),N,N,Y,N,N,N,N,2290card.png
삼성 iD ENERGY 카드,삼성카드,https://www.card-gorilla.com/card/detail/2290,선택형,미래지향적 라이프스타일-친환경 소재(Recycling-PVC)를 50% 이상 사용한 삼성 iD ENERGY 카드,N,N,N,N,N,N,N,2290card.png
삼성 iD PLUG-IN 카드,삼성카드,https://www.card-gorilla.com/card/detail/2661,충전소,전기차 충전요금 20%/40% 결제일 할인,Y,N,N,N,N,Y,N,2661card.png
삼성 iD PLUG-IN 카드,삼성카드,https://www.card-gorilla.com/card/detail/2661,자동차,주차장/대리운전 20% 할인,N,Y,N,N,N,N,N,2661card.png
삼성 iD PLUG-IN 카드,삼성카드,https://www.card-gorilla.com/card/detail/2661,보험사,"현대해상 다이렉트 자동차보험 30,000원 할인",N,N,Y,Y,N,N,N,2661card.png
삼성 iD PLUG-IN 카드,삼성카드,https://www.card-gorilla.com/card/detail/2661,디지털구독,디지털콘텐츠 20% 할인,N,N,N,N,N,N,N,2661card.png
삼성 iD PLUG-IN 카드,삼성카드,https://www.card-gorilla.com/card/detail/2661,해외,해외 1% 할인,N,N,N,N,N,N,N,2661card.png
신한카드 EVerywhere,신한카드,https://www.card-gorilla.com/card/detail/2435,충전소,전기차 충전요금의 20%~30% 캐시백당월 생활 서비스 1회 이상 이용 시 전기차 충전요금의 5%~10% 추가 캐시백,Y,N,N,N,N,Y,N,2435card.png
신한카드 EVerywhere,신한카드,https://www.card-gorilla.com/card/detail/2435,디지털구독,디지털 구독 20% 캐시백,N,N,N,N,N,N,N,2435card.png
신한카드 EVerywhere,신한카드,https://www.card-gorilla.com/card/detail/2435,통신,이동통신 5% 캐시백,N,N,N,N,N,N,N,2435card.png
신한카드 EVerywhere,신한카드,https://www.card-gorilla.com/card/detail/2435,편의점,편의점 5% 캐시백,N,N,N,N,N,N,N,2435card.png
신한카드 EVerywhere,신한카드,https://www.card-gorilla.com/card/detail/2435,카페/디저트,베이커리·커피전문점 5% 캐시백,N,N,N,N,N,N,N,2435card.png
신한카드 EVerywhere,신한카드,https://www.card-gorilla.com/card/detail/2435,기타,"주차앱 5천원 이상 결제 시, 5천원 캐시백",N,Y,N,N,N,N,N,2435card.png
신한카드 EVerywhere,신한카드,https://www.card-gorilla.com/card/detail/2435,선택형,다양한 플레이트 선택가능,N,N,N,N,N,N,N,2435card.png
삼성 BIZ iD BENEFIT카드,삼성카드,https://www.card-gorilla.com/card/detail/2324,비즈니스,"4대 사회보험, 도시가스요금, 전기요금, 할인점, 온라인쇼핑몰, 식자재몰, 해외 1.5% 결제 할인",N,N,N,Y,N,N,N,2324card.png
삼성 BIZ iD BENEFIT카드,삼성카드,https://www.card-gorilla.com/card/detail/2324,모든가맹점,국내 가맹점 0.5% 결제일할인,N,N,N,N,N,N,N,2324card.png
삼성 BIZ iD BENEFIT카드,삼성카드,https://www.card-gorilla.com/card/detail/2324,생활,주유·전기차 충전요금·이동통신·인터넷/유선통신·렌탈·보안·방역 3% 결제일할인,Y,N,N,N,N,Y,N,2324card.png
