"registration_id";"fuel_id";"vehicle_model_id";"base_ym";"region_name";"registered_count"
1;6;3;"202001";"서울";1606680
2;6;3;"202001";"부산";663091
3;6;3;"202001";"대구";561360
4;6;3;"202001";"인천";763921
5;6;3;"202001";"광주";296054
6;6;3;"202001";"대전";325545
7;6;3;"202001";"울산";280620
8;6;3;"202001";"세종";81542
9;6;3;"202001";"경기";2771609
10;6;3;"202001";"강원";332794
11;6;3;"202001";"충북";364071
12;6;3;"202001";"충남";480860
13;6;3;"202001";"전북";375578
14;6;3;"202001";"전남";396193
15;6;3;"202001";"경북";615575
16;6;3;"202001";"경남";807468
17;6;3;"202001";"제주";248713
18;6;6;"202001";"서울";1010
19;6;6;"202001";"부산";254
20;6;6;"202001";"대구";251
21;6;6;"202001";"인천";243
22;6;6;"202001";"광주";105
23;6;6;"202001";"대전";124
24;6;6;"202001";"울산";64
25;6;6;"202001";"세종";16
26;6;6;"202001";"경기";1271
27;6;6;"202001";"강원";130
28;6;6;"202001";"충북";130
29;6;6;"202001";"충남";180
30;6;6;"202001";"전북";149
31;6;6;"202001";"전남";158
32;6;6;"202001";"경북";252
33;6;6;"202001";"경남";244
34;6;6;"202001";"제주";72
35;6;5;"202001";"서울";2001
36;6;5;"202001";"부산";599
37;6;5;"202001";"대구";594
38;6;5;"202001";"인천";664
39;6;5;"202001";"광주";284
40;6;5;"202001";"대전";344
41;6;5;"202001";"울산";244
42;6;5;"202001";"세종";66
43;6;5;"202001";"경기";3400
44;6;5;"202001";"강원";587
45;6;5;"202001";"충북";524
46;6;5;"202001";"충남";731
47;6;5;"202001";"전북";653
48;6;5;"202001";"전남";681
49;6;5;"202001";"경북";1003
50;6;5;"202001";"경남";935
51;6;5;"202001";"제주";260
52;6;11;"202001";"서울";18
53;6;11;"202001";"부산";5
54;6;11;"202001";"대구";0
55;6;11;"202001";"인천";9
56;6;11;"202001";"광주";0
57;6;11;"202001";"대전";2
58;6;11;"202001";"울산";1
59;6;11;"202001";"세종";0
60;6;11;"202001";"경기";12
61;6;11;"202001";"강원";2
62;6;11;"202001";"충북";0
63;6;11;"202001";"충남";4
64;6;11;"202001";"전북";1
65;6;11;"202001";"전남";2
66;6;11;"202001";"경북";2
67;6;11;"202001";"경남";1
68;6;11;"202001";"제주";0
